zip,city,state,lat,lon,pop,sqmi,denspersqmi,med_income,avg_income,subways
1106,Longmeadow,MA,42.047565,-72.57113,16021,9.301,1722.502957,91889,134662,2
1107,Springfield,MA,42.12106,-72.607068,11611,1.507,7704.711347,23557,33974,1
1108,Springfield,MA,42.080692,-72.560791,26688,3.723,7168.412571,37411,48866,1
1109,Springfield,MA,42.119674,-72.549726,30250,5.442,5558.618155,34638,44049,2
1118,Springfield,MA,42.094194,-72.525081,14071,3.595,3914.047288,55853,62546,0
1119,Springfield,MA,42.124978,-72.51121,14152,3.55,3986.478873,45184,52187,3
1128,Springfield,MA,42.092296,-72.489135,2631,1.117,2355.416294,63177,66605,1
1129,Springfield,MA,42.11869,-72.4882,7019,3.424,2049.941589,58704,66403,1
1151,Indian Orchard,MA,42.15186,-72.509131,8698,2.368,3673.141892,34175,50951,0
1199,Springfield,MA,42.120563,-72.604468,0,0.011,0,48306,58759,0
1201,Pittsfield,MA,42.448236,-73.273727,46504,52.918,878.7936052,46765,57694,6
1220,Adams,MA,42.623799,-73.116736,8603,24.596,349.7723207,38379,50308,0
1222,Ashley Falls,MA,42.058703,-73.322175,829,3.307,250.680375,47145,68665,0
1223,Becket,MA,42.312225,-73.110124,2314,69.751,33.17515161,48478,71204,0
1224,Berkshire,MA,42.513163,-73.195743,182,0.278,654.676259,66458,82491,0
1225,Cheshire,MA,42.563401,-73.153335,3117,25.106,124.1535888,57419,75267,0
1226,Dalton,MA,42.481119,-73.135073,6945,26.378,263.2875881,57505,70710,0
1229,Glendale,MA,42.276338,-73.335896,95,0.733,129.6043656,55096,70740,0
1230,Great Barrington,MA,42.173192,-73.324283,8430,91.522,92.10900111,53584,73996,2
1235,Hinsdale,MA,42.425676,-73.063012,2766,45.643,60.60074929,63877,73062,0
1236,Housatonic,MA,42.266496,-73.378393,1509,4.802,314.244065,55718,74247,0
1237,Lanesborough,MA,42.547818,-73.268033,2496,61.823,40.37332384,69659,87759,0
1238,Lee,MA,42.297501,-73.230148,6047,34.833,173.5997474,51053,64187,2
1240,Lenox,MA,42.367858,-73.269763,4534,21.38,212.0673527,60458,74117,1
1242,Lenox Dale,MA,42.333734,-73.249199,476,0.497,957.7464789,60604,74264,0
1243,Middlefield,MA,42.350122,-73.024112,334,18.651,17.90788698,60320,71505,0
1244,Mill River,MA,42.118094,-73.257497,151,2.45,61.63265306,57917,73592,0
1245,Monterey,MA,42.186893,-73.223105,985,27.98,35.20371694,63152,90383,0
1247,North Adams,MA,42.698526,-73.0843,16087,52.526,306.2673723,38405,48295,2
1253,Otis,MA,42.206683,-73.113214,731,18.267,40.01751793,62955,97075,0
1254,Richmond,MA,42.382019,-73.365492,972,14.561,66.75365703,79145,103371,0
1255,Sandisfield,MA,42.107496,-73.118607,915,51.806,17.66204687,62955,97075,0
1256,Savoy,MA,42.594166,-73.02232,692,35.845,19.30534245,54167,59862,0
1257,Sheffield,MA,42.085244,-73.367483,2121,36.235,58.53456603,47145,68665,0
1258,South Egremont,MA,42.10928,-73.462886,374,25.807,14.49219204,55764,80635,0
1259,Southfield,MA,42.075469,-73.234376,635,25.326,25.07304746,57917,73592,0
1260,South Lee,MA,42.295696,-73.342543,240,2.511,95.57945042,53297,67749,1
1262,Stockbridge,MA,42.292202,-73.319209,1238,12.034,102.875187,55096,70740,0
1264,Tyringham,MA,42.23159,-73.202428,137,11.361,12.05879764,63250,89918,0
1266,West Stockbridge,MA,42.312354,-73.388044,1463,26.052,56.15691694,64328,79025,0
1267,Williamstown,MA,42.671617,-73.246981,7989,54.554,146.4420574,69925,104709,1
1270,Windsor,MA,42.515272,-73.031166,778,31.858,24.4208676,70662,76919,0
1301,Greenfield,MA,42.626761,-72.60153,17700,25.491,694.3627163,47833,54338,2
1330,Ashfield,MA,42.513947,-72.821517,1506,33.326,45.18994179,70326,81554,0
1331,Athol,MA,42.562408,-72.19108,13263,53.224,249.1920938,49110,59949,1
1337,Bernardston,MA,42.689307,-72.582249,2596,37.223,69.74182629,57550,68074,0
1338,Buckland,MA,42.572604,-72.824306,187,3.454,54.14012739,56596,67203,0
1339,Charlemont,MA,42.603776,-72.889644,1438,54.978,26.15591691,6531,7755,0
1340,Colrain,MA,42.694731,-72.710956,1701,44.182,38.49984156,#N/A,#N/A,0
1341,Conway,MA,42.496937,-72.709414,1833,35.686,51.36468083,70326,81554,0
1342,Deerfield,MA,42.543889,-72.609458,1492,17.834,83.66042391,61912,77805,0
1343,Drury,MA,42.657625,-72.978933,75,4.871,15.39724902,54167,59862,0
1344,Erving,MA,42.613418,-72.426427,1498,13.634,109.8723779,54836,62158,0
1346,Heath,MA,42.693275,-72.823113,533,20.996,25.38578777,#N/A,#N/A,0
1347,Lake Pleasant,MA,42.559294,-72.518753,166,0.577,287.694974,50189,64302,0
1349,Millers Falls,MA,42.563061,-72.482122,1091,7.685,141.9648666,51401,63743,0
1350,Monroe Bridge,MA,42.727772,-72.985346,121,10.721,11.28626061,#N/A,#N/A,0
1351,Montague,MA,42.53988,-72.521689,2270,20.926,108.4774921,50189,64302,0
1354,Gill,MA,42.624076,-72.508643,1500,13.764,108.9799477,57550,68074,0
1355,New Salem,MA,42.458551,-72.327191,878,47.38,18.53102575,67831,86678,0
1360,Northfield,MA,42.677091,-72.453876,3032,34.285,88.43517573,70606,75984,0
1364,Orange,MA,42.605437,-72.292074,7969,39.231,203.1301777,44676,51820,4
1366,Petersham,MA,42.475621,-72.192468,1277,40.405,31.60499938,68374,75325,0
1367,Rowe,MA,42.695532,-72.909148,522,26.536,19.67138981,#N/A,#N/A,0
1368,Royalston,MA,42.679456,-72.176935,1261,41.842,30.13718274,61950,70261,0
1370,Shelburne Falls,MA,42.593338,-72.726941,4084,49.819,81.97675586,53003,62787,0
1373,South Deerfield,MA,42.475481,-72.615403,4600,24.161,190.3894706,61438,76643,2
1375,Sunderland,MA,42.466691,-72.546751,3684,14.23,258.8896697,59722,72440,1
1376,Turners Falls,MA,42.59528,-72.555002,5247,2.761,1900.398406,36099,49132,1
1378,Warwick,MA,42.673533,-72.353213,774,34.021,22.75065401,54836,62158,0
1379,Wendell,MA,42.55631,-72.407148,813,30.209,26.91250952,54836,62158,0
1420,Fitchburg,MA,42.584925,-71.816862,40337,30.317,1330.507636,48606,60461,2
1430,Ashburnham,MA,42.657005,-71.923442,6089,36.979,164.6610238,79875,81308,0
1431,Ashby,MA,42.676293,-71.832523,3074,23.702,129.6936967,80143,92672,0
1432,Ayer,MA,42.566573,-71.575135,7089,8.444,839.5310279,55863,70682,1
1434,Devens,MA,42.538903,-71.612027,1795,5.281,339.8977466,119016,144183,0
1436,Baldwinville,MA,42.602059,-72.087015,3336,9.595,347.6810839,66138,70269,0
1438,East Templeton,MA,42.562243,-72.031402,559,0.542,1031.365314,66138,70269,0
1440,Gardner,MA,42.584206,-71.988737,20347,24.042,846.3106231,51232,61725,2
1450,Groton,MA,42.61176,-71.565269,10646,32.756,325.0091586,123278,142339,0
1451,Harvard,MA,42.501908,-71.568201,4747,19.132,248.1183358,141274,170088,0
1452,Hubbardston,MA,42.489598,-72.002878,4382,41.071,106.6932872,82443,89101,0
1453,Leominster,MA,42.519977,-71.763202,40883,28.47,1436.00281,57280,69264,3
1460,Littleton,MA,42.535931,-71.490569,8924,16.523,540.0956243,103751,114888,1
1462,Lunenburg,MA,42.582607,-71.720464,10086,26.454,381.2655931,84911,92795,0
1463,Pepperell,MA,42.670643,-71.602858,11497,22.6,508.7168142,85403,96368,0
1464,Shirley,MA,42.573654,-71.640986,7211,15.014,480.2850673,72598,76269,0
1467,Still River,MA,42.489646,-71.609577,316,1.895,166.7546174,141274,170088,0
1468,Templeton,MA,42.542767,-72.068345,4021,21.4,187.8971963,66138,70269,0
1469,Townsend,MA,42.664828,-71.695087,6801,22.881,297.2335125,78502,85145,1
